,recipeName,ingredients,instructions,supplementary_ingredients,supplementary_instructions
0,5 ,,,,
1,Kaimati (Fried Dumplings) ,"2 cups (280 g) wheat flour, refined 2 cups (447 g) water ½ tsp. (3 g) vanilla essence, clear ½ tsp. (1 g) cardamoms powder 1¼ tbsp. (12 g) yeast, dry 5 1/8 cups (1000 g) cooking oil 4 tbsp. (56 g) sugar tency. • ","• Put yeast in a small container. • Add 50ml of warmed water. • Add 4 tbsp. of sugar and allow to stand for 3 minutes. • Meanwhile, warm the rest of the water in a cooking pot. • Mix dry ingredients together; flour, cardamoms and vanilla essence in a bowl. • Add ¼ cup (50 g) of oil into the mixture and rub in until finely absorbed. • Add the yeast preparation to the flour mixture, adding the lukewarm water gradually while mixing to a semi-solid consis- • Cover with a dry towel/ cloth and allow to stand for 4 minutes until the dough rises. In a pan put the rest of the oil and heat for 7 minutes or until the oil bubbles when a pinch of dough is dropped in the oil. • Shape the dough into round balls and put into the hot oil, keep turning to cook evenly. • Deep fry for 3-4 minutes. • Remove from oil. ","1 cup (187 g) white sugar ½ cup (116g) water ½ tsp. (4 g) vanilla essence, clear ","Preparation of sugar syrup; • Mix the sugar, water and vanilla essence in a cooking pan. • Put on the heat for 5 minutes. • Stir to prevent sugar from sticking on the sides of the pan; the mixture should be sticky. • Add the fried dumplings to the sugar syrup and stir to coat them in the syrup while still on the heat. • Swirl until the syrup covers all the dumplings. • Serve as desired. Energy 1,795 kJ/ 429 kcal | Fat 21.8 g | Carbohydrates 52.8 g | Protein 4.6 g | Fibre 1.6 g | Vitamin A 30 mcg | Iron 2.1 mg | Zinc 0.45 mg Nutrition data per 100 g of recipe: 7 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15003 "
2,Mahamri (Swahili Doughnuts) ,"3 ½ cups (525 g) wheat flour, refined ¾ cup (181 g) coconut milk 9 tbsp. (123 g) white sugar 1¼ tbsp. (12 g) dry yeast 1 tsp. (2 g) cardamom ¾ cups (182 g) water • 8 1/8 cups (1735 g) cooking oil • • firm feel. texture. • ","• Break the coconut shell, drain the water and grate the flesh. • Squeeze the coconut milk from the grated coconut flesh using a cloth. • Set aside the thick coconut milk. • Add ¼ cup of warm water to squeeze out any remaining milk. In a bowl, mix a pinch of sugar with the yeast and add the ¼ cup of water used to squeeze the last batch of coconut milk. Stir and set aside for 5 minutes for the yeast to rise. In a separate bowl, mix the dry ingredients; sugar, flour and cardamoms. • Add the yeast mixture to the dry ingredients. • Add 4 tablespoons of oil and the thick coconut milk into the yeast and dry ingredients mixture. • Knead the dough as you add the remaining water to a • Set the dough aside for 10 minutes for sugar to dissolve. Cover with a cloth. • Knead the dough again to mix the sugar and to improve the • Cover with a dry cloth and allow to stand for 30 minutes. • Divide the dough into small-medium size balls. Set them aside and cover with a dry cloth for 15 minutes.  When well raised, roll out each ball into flat discs and cut each into four triangle shaped portions. • Heat the remaining oil for 15 minutes to 173°C. • Fry the mahamri and turn after 40 seconds. The mahamri will turn golden brown when ready. • Remove the first batch of mahamri from oil and place onto paper towels to drain the oil. • Continue frying the rest in batches until all are done. • Serve as desired. Nutrition data per 100 g of recipe: 9 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15004 ",,
3,"Enriched Mandazi (East African Doughnuts, Enriched) ","7 cups (1063 g) self-raising wheat flour 3 eggs (179 g) 9 tbsp. (118 g) margarine Rind from 2 lemons (15 g) ¾ cup (144 g) sugar ½ tsp. (2 g) salt, iodized 7 cups (1039 g) cooking fat 11/3 cups (289 g) cow milk 1¼ cups (282 g) water ","• Put flour, salt, sugar and lemon rind into a bowl and mix. • Mix all the water with the milk and warm. • Add margarine into the dry ingredients and rub in. • Add eggs onto the dry ingredients and mix. • Add the warm diluted milk into the bowl and knead the mixture into a soft dough. • Cover the dough with a dump cloth for 40 minutes. • Heat all the cooking fat in a pot for 10 minutes or until the oil bubbles when a pinch of dough is dropped in the oil. • Roll out the dough into the desired thickness; about a ¼ of an inch thick. • Cut the dough into preferred shapes. • Gently drop the cut-out pieces into the hot oil. • Fry one side until golden brown and turn. • Remove from oil and place onto paper towels to drain any excess oil. • Repeat the process with the rest of the pieces. • Serve as desired. Energy 1,590 kJ/ 379 kcal |│ Fat 16.1 g │| Carbohydrates 49.9 g │| Protein 7.6 g │| Fibre 2.2 g │ Vitamin A 90 mcg │| Iron 3.3 mg |│ Zinc 0.66 mg Nutrition data per 100g of recipe: 11 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15124 ",,
4,"Basic Mandazi (East African Doughnuts, Basic) ",7 ¼ cups (953 g) all-purpose wheat flour 3 tbsp. (48 g) baking powder 2/3 cup (128 g) sugar 6 1/3 cups (1235 g) cooking oil 3 1/3 cups (723 g) water ,"• Put the wheat flour into a bowl, add baking powder and sugar. • Add 3 1/3 of cups water and mix properly to make soft dough. • Add 4 tablespoons of cooking oil and continue knead- ing. • Cover and leave to stand for 40 minutes. • Roll out the dough and cut into desired shapes • Add the rest of the cooking oil into the pot/ deep fry- ing pan and heat for 10 minutes (use a piece of dough to test). • Carefully drop the cut-out pieces into the hot oil and fry until golden brown. • Repeat the process for all the pieces. • Remove from oil, place on paper towel to drain any excess oil. • Repeat the process with the rest of the pieces. • Serve with a hot beverage. Energy 1,430kJ/ 340 kcal │| Fat 12.9 g │| Carbohydrates 48.7 g │| Protein 6.4 g │| Fibre 2.1 g │ Vitamin A 48 mcg |│ Iron 3.5 mg |│ Zinc 0.52 mg Nutrition data per 100g of recipe: 13 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15125 ",,
5,Meat Samosa (Sambusa ya Nyama) ,"½ kg minced beef 30 g coriander, fresh 1 stem (356 g) leek, unpeeled, raw 1 clove (5 g) garlic, unpeeled, raw ¼ tsp. (1 g) chilli pepper, fresh, raw 3 cups (475 g) wheat flour, refined ½ tsp. (2 g) salt, iodized 1¼ cups (264 g) water 3 cups (572 g) cooking oil water. Mix into a medium soft dough. • Turn dough onto a flat surface and knead thor- oughly until smooth. • Make a thick long roll, cut into 9 pieces and make the pieces into small balls. • Roll out the balls, one at a time into desired thickness. • Flour the surface, slightly oil the top of each • Toast each side lightly, peeling off each layer ","together in a bowl. forming balls. Let the meat cool before using it to fill the casings. thick paste. • Make the casings using the paste to bond and seal the edges. seal off the edges using the paste. • Do not overfill the casings to prevent it any tears or rips on them. • Carefully, deep each samosa into the hot oil and • Remove from the hot oil making sure to let any excess oil drain back into the pan. cooked. • Serve. Energy 1,854 kJ/ 443 kcal |│ Fat 22.2 g │| Carbohydrates 40.5 g |│ Protein 18.8 g │| Fibre 3.1 g │ Vitamin A 66 mcg │| Iron 11.5 mg |│ Zinc 2.99 mg Nutrition data per 100g of recipe: 15 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15025 ",,
6,Vegetable Samosa (Sambusa ya Mboga) ,,,,
7,Pancakes (Chapati za Maji) ,"3 cups (433 g) wheat flour, refined, all purpose 2 eggs, whole (112 g) 2 1/3 cups (528 g) cow milk, fresh 1/8 cup (22 g) sugar, white 11/3 cups (303 g) water ¾ cup (160 g) cooking oil • ","Makes 9 • Put the wheat flour into a bowl. • Dissolve sugar into the milk then pour the sugar and milk mixture into the flour. • Add all the water. • Start mixing the pancake batter either using an egg whisk or wooden bowl. • Mix well until it comes to a smooth consistency. • Break eggs and add into the mixture in the bowl. • Continue mixing until everything is smooth and with no lumps. • Put the frying pan onto the fire and let it heat for 2 minutes. • Pour batter into the frying pan. • Pour just enough for it to mould into the shape of the pan. Let the batter set on one side and then turn over after 2 minutes. • Once you turn over, apply cooking oil onto the pancake and spread. • Turnover and repeat the same procedure for the other side. • Keep turning as needed until it cooks on both sides (turns golden brown and is cooked on the inside). • Remove from the fire and place on paper towels on a plate. • Repeat the process until all the batter is finished. • Serve. Energy 1,136 kJ/ 270 kcal │| Fat 8.5 g │| Carbohydrates 39.2 g |│ Protein 8.3 g |│ Fibre 1.7 g │ Vitamin A 77 mcg │| Iron 2.9 mg │| Zinc 0.83 mg Nutrition data per 100g of recipe: 19 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15027 ",,
8,Drop Scones ,,,,
9,Qita (Maize & Wheat Flour Pancake) ,"2 cups (312 g) wheat flour, refined 3 cups (533 g) maize flour, white, re- fined 1 tbsp. (7 g) yeast, dry 3 ¼ cups (835 g) water ½ tbsp. (6 g) salt, iodized 4 tbsp. (61 g) butter, cow salt. 1 tbsp. (13 g) mixed spices 2 cloves garlic (2 g) ","Serves 4 • Measure wheat flour, maize flour, yeast, water and salt. Mix the flours (wheat and maize) in a bowl and add the • Heat the water in a pan until warm. Add ¼ cup of the water into the yeast. Create a hole in the flour and pour in the yeast mixture. • Mix properly using hands. Keep adding the rest of the water to the flour gradually and mixing by hand. • Set aside to rise for 2 hours. • Melt the butter in a cooking pot. Add crushed garlic and mixed spices. • Once they are evenly mixed, remove from the fire and sieve to remove residue. • Add the butter preparation to the flour mixture and stir until evenly mixed. • Heat a cooking pan for 4 minutes. Using a small soup spoon, pour 2 scoops of the batter onto the heated pan. • Using your hands, spread it out into the desired thick- ness. • Cover the pan. After 3 minutes, it will have turned gold- en brown. Flip it over. • After 2 minutes, flip it over again. • Keep turning over until it hardens. • Add desired batter and spread. One piece takes 8 min- utes to cook. • Again, pour 2 scoops onto the pan. Using the hands, spread to desired size. • Repeat process until all the batter is used. Energy 1,017 kJ/ 241 kcal │| Fat 5.6 g │| Carbohydrates 41.2 g |│ Protein 5.1 g │| Fibre 2.8 g │ Vitamin A 62 mcg │ Iron 2.8 mg |│ Zinc 1.81 mg Nutrition data per 100g of recipe: 23 A Recipe Book 0f Common Mixed Dishes with Nutrient Values; As Prepared by Communities. KFCT Code 15042 ",,
